Year    SMR GFR
2020    0   0
2021    4   0
2022    4   0
2023    0   0
2024    0   0
2025    0   0
2026    1   0
2027    4   0
2028    3   0
2029    14  0
2030    15  0
2031    0   0
2032    7   0
2033    24  0
2034    32  0
2035    2   0
2036    22  0
2037    11  0
2038    11  0
2039    0   0
2040    9   1
2041    8   0
2042    4   0
2043    21  0
2044    15  0
2045    13  1
2046    18  0
2047    18  0
2048    0   0
2049    0   0
2050    0   0
2051    0   0
2052    0   1
2053    1   1
2054    6   0
2055    6   1
2056    10  0
2057    9   0
2058    6   1
2059    9   0
2060    10  0
2061    2   0
2062    7   1
2063    6   0
2064    7   0
2065    2   1
2066    8   0
2067    8   0
2068    3   1
2069    8   0
2070    8   0
2071    4   1
2072    7   0
2073    8   0
2074    4   1
2075    11  0
2076    2   1
2077    5   0
2078    5   0
2079    10  1
2080    5   0
2081    5   0
2082    4   1
2083    8   0
2084    11  2
2085    12  2
2086    4   0
2087    7   1
2088    16  3
2089    21  4
2090    6   0
2091    16  2
2092    8   1
2093    9   1
2094    1   0
2095    9   1
2096    5   1
2097    3   0
2098    12  2
2099    11  1
2100    8   2
